primary_category,total_orders,flagged_orders,avg_risk_score,flagged_revenue,flag_rate
Home Confort,346,23,0.4421965317919075,4461.99,0.06647398843930635
Agro Industry And Commerce,177,10,0.327683615819209,11834.79,0.05649717514124294
Office Furniture,1244,68,0.39308681672025725,19343.12,0.05466237942122187
Baby,2794,139,0.2623478883321403,40825.3,0.049749463135289905
Audio,348,16,0.3333333333333333,3085.36,0.04597701149425287
Bed Bath Table,9240,407,0.32781385281385284,63389.32,0.04404761904761905
Construction Tools Construction,731,32,0.33105335157318744,8612.49,0.04377564979480164
Fixed Telephony,212,9,0.25471698113207547,2278.88,0.04245283018867924
Computers,176,7,0.5738636363636364,7988.0,0.03977272727272727
Watches Gifts,5455,214,0.3395050412465628,67448.59,0.03923006416131989
Construction Tools Safety,155,6,0.3419354838709677,2149.24,0.03870967741935484
Fashion Male Clothing,106,4,0.29245283018867924,796.6,0.03773584905660377
Furniture Living Room,403,15,0.3052109181141439,6315.92,0.03722084367245657
Furniture Decor,6208,229,0.26723582474226804,44485.31,0.036887886597938145
Musical Instruments,606,22,0.32838283828382836,9919.59,0.036303630363036306
Home Appliances 2,226,8,0.3938053097345133,5728.49,0.035398230088495575
Small Appliances,604,21,0.30960264900662254,7221.49,0.0347682119205298
Auto,3804,132,0.2431650893796004,58144.77,0.03470031545741325
Fashion Underwear Beach,117,4,0.19658119658119658,266.03,0.03418803418803419
Market Place,264,9,0.22348484848484848,1228.52,0.03409090909090909
Health Beauty,8621,285,0.2537988632409233,56020.03,0.033058809882844216
Other,1332,44,0.24549549549549549,9482.8,0.03303303303303303
Air Conditioning,246,8,0.27235772357723576,2865.69,0.032520325203252036
Garden Tools,3411,110,0.24890061565523308,25477.53,0.03224860744649663
Perfumery,3070,97,0.2664495114006515,16447.77,0.03159609120521173
Industry Commerce And Business,229,7,0.19213973799126638,1516.8,0.03056768558951965
Home Construction,460,14,0.2847826086956522,4773.9,0.030434782608695653
Fashion Shoes,233,7,0.19742489270386265,802.54,0.030042918454935622
Cool Stuff,3516,105,0.26023890784982934,31201.64,0.029863481228668942
Kitchen Dining Laundry Garden Furniture,236,7,0.326271186440678,2146.9,0.029661016949152543
Toys,3759,110,0.2298483639265762,16074.39,0.029263101888800214
Sports Leisure,7478,216,0.198181331906927,44137.49,0.02888472853704199
Electronics,2509,71,0.17576723794340374,8674.130000000001,0.028298126743722597
Computers Accessories,6520,180,0.20352760736196318,37536.38,0.027607361963190184
Consoles Games,1016,28,0.19488188976377951,6562.58,0.027559055118110236
Fashion Bags Accessories,1816,50,0.1685022026431718,7135.29,0.02753303964757709
Housewares,5671,152,0.22817845177217422,29668.07,0.026803032974783987
Telephony,4071,105,0.17170228445099484,14133.82,0.025792188651436992
Drinks,285,7,0.14035087719298245,1047.47,0.02456140350877193
Stationery,2241,55,0.18384649709950915,8208.08,0.024542614904060688
Pet Shop,1679,41,0.197736748064324,7017.39,0.024419297200714712
Books General Interest,495,12,0.15555555555555556,1335.49,0.024242424242424242
Christmas Supplies,125,3,0.192,239.70000000000002,0.024
Construction Tools Lights,237,5,0.1940928270042194,1099.72,0.02109704641350211
Luggage Accessories,1011,17,0.2344213649851632,2540.23,0.016815034619188922
Food,436,7,0.13761467889908258,710.54,0.016055045871559634
Books Technical,256,4,0.13671875,203.67000000000002,0.015625
Food Drink,220,3,0.09545454545454546,258.96000000000004,0.013636363636363636
Costruction Tools Garden,186,2,0.23118279569892472,704.98,0.010752688172043012
Home Appliances,747,7,0.1539491298527443,1881.28,0.009370816599732263
Signaling And Security,137,1,0.2116788321167883,69.99,0.0072992700729927005
Art,194,1,0.13917525773195877,69.99,0.005154639175257732
