purchase_month,total_orders,total_revenue,flagged_orders,flagged_revenue,flag_rate
2016-09,1,134.97,1,134.97,1.0
2016-10,265,40325.11,7,1624.5700000000002,0.026415094339622643
2016-12,1,10.9,0,0.0,0.0
2017-01,750,111798.36,25,6502.02,0.03333333333333333
2017-02,1653,234223.4,38,7970.73,0.022988505747126436
2017-03,2546,359198.85,63,12678.61,0.02474469756480754
2017-04,2303,340669.68,64,20089.65,0.027789839339991317
2017-05,3546,489338.25,59,16033.77,0.016638465877044557
2017-06,3135,421923.37,55,22347.36,0.017543859649122806
2017-07,3872,481604.52,75,18021.78,0.019369834710743803
2017-08,4193,554699.7,69,16135.18,0.016455998092058194
2017-09,4150,607399.67,77,22455.170000000002,0.01855421686746988
2017-10,4478,648247.65,103,26964.44,0.02300133988387673
2017-11,7289,987765.37,440,84726.45,0.06036493346138016
2017-12,5513,726033.1900000001,199,49394.24,0.03609649918374751
2018-01,7069,924645.0,223,49398.340000000004,0.03154618757957278
2018-02,6555,826437.13,471,83633.07,0.07185354691075514
2018-03,7003,953356.25,595,109827.57,0.08496358703412824
2018-04,6798,973534.09,169,41688.0,0.02486025301559282
2018-05,6749,977544.6900000001,157,39680.07,0.023262705586012743
2018-06,6099,856077.86,83,24096.45,0.013608788325955074
2018-07,6159,867953.46,95,30397.12,0.015424581912648156
2018-08,6351,838576.64,96,28390.87,0.015115729806329713
