primary_category,orders,review_count,avg_score,pct_1star,pct_5star
Air Conditioning,246,242,4.115702479338843,10.975609756097562,57.72357723577236
Audio,348,345,3.8391304347826085,16.091954022988507,52.87356321839081
Auto,3804,3786,4.147120972002113,9.752891692954785,57.833859095688744
Baby,2794,2772,4.1105699855699855,10.66571224051539,58.16034359341445
Bed Bath Table,9240,9145,4.003171131765992,11.731601731601732,53.32251082251083
Books General Interest,495,491,4.5336048879837065,5.252525252525253,74.14141414141415
Books Technical,256,255,4.427450980392157,6.640625,71.484375
Computers Accessories,6520,6489,4.082293111419325,11.11963190184049,56.38036809815951
Consoles Games,1016,1007,4.182224428997021,8.169291338582676,58.46456692913385
Construction Tools Construction,731,726,4.1411845730027546,10.259917920656635,58.41313269493844
Construction Tools Lights,237,234,4.183760683760684,6.329113924050633,54.85232067510548
Cool Stuff,3516,3488,4.234375,7.935153583617748,60.52332195676906
Drinks,285,285,4.245614035087719,8.771929824561402,60.35087719298245
Electronics,2509,2490,4.128112449799197,9.844559585492227,56.436827421283375
Fashion Bags Accessories,1816,1808,4.240873893805309,7.709251101321586,60.13215859030837
Fashion Shoes,233,229,4.286026200873362,6.866952789699571,63.519313304721024
Fixed Telephony,212,209,3.9665071770334928,13.679245283018867,51.886792452830186
Food,436,432,4.324074074074074,7.79816513761468,64.90825688073394
Food Drink,220,220,4.443181818181818,2.727272727272727,65.9090909090909
Furniture Decor,6208,6162,4.073109380071405,10.969716494845361,56.7493556701031
Furniture Living Room,403,398,4.108040201005025,9.181141439205955,55.33498759305211
Garden Tools,3411,3391,4.192568563845473,9.000293169158605,59.74787452360012
Health Beauty,8621,8575,4.232283770651118,8.920078877160423,62.243359239067395
Home Appliances,747,744,4.216173835125448,8.701472556894243,59.83935742971887
Home Appliances 2,226,225,4.155555555555556,8.4070796460177,55.75221238938053
Home Confort,346,344,3.9505813953488373,13.005780346820808,55.202312138728324
Home Construction,460,458,4.0873362445414845,8.695652173913043,53.69565217391305
Housewares,5671,5637,4.207379811956715,8.323047081643448,60.20102274731089
Industry Commerce And Business,229,227,4.237885462555066,7.860262008733625,59.82532751091703
Kitchen Dining Laundry Garden Furniture,236,234,4.128205128205129,9.745762711864407,55.08474576271186
Luggage Accessories,1011,1007,4.380337636544191,5.637982195845697,65.97428288822947
Market Place,264,262,4.133587786259542,8.712121212121213,54.54545454545454
Musical Instruments,606,600,4.24,8.25082508250825,61.221122112211226
Office Furniture,1244,1234,3.6543760129659644,16.881028938906752,39.951768488745984
Other,1332,1324,4.056268882175226,12.762762762762764,56.45645645645646
Perfumery,3070,3060,4.264869281045752,8.827361563517917,65.0814332247557
Pet Shop,1679,1671,4.283064033512867,7.742703990470518,63.668850506253726
Small Appliances,604,599,4.270450751252087,8.443708609271523,62.913907284768214
Sports Leisure,7478,7434,4.238095238095238,8.692163680128377,61.60738165284836
Stationery,2241,2228,4.304084380610413,7.050423917893797,63.186077643908966
Telephony,4071,4047,4.058067704472449,10.267747482191107,53.74600835175632
Toys,3759,3729,4.248189863234111,8.5927108273477,62.729449321628096
Watches Gifts,5455,5415,4.1296398891966755,10.137488542621448,58.24014665444547
