purchase_month,primary_category,orders
2016-09,Health Beauty,1
2016-10,Bed Bath Table,5
2016-10,Computers Accessories,12
2016-10,Furniture Decor,47
2016-10,Health Beauty,36
2016-10,Sports Leisure,17
2017-01,Bed Bath Table,43
2017-01,Computers Accessories,24
2017-01,Furniture Decor,129
2017-01,Health Beauty,79
2017-01,Sports Leisure,57
2017-02,Bed Bath Table,138
2017-02,Computers Accessories,92
2017-02,Furniture Decor,213
2017-02,Health Beauty,143
2017-02,Sports Leisure,134
2017-03,Bed Bath Table,239
2017-03,Computers Accessories,147
2017-03,Furniture Decor,251
2017-03,Health Beauty,190
2017-03,Sports Leisure,163
2017-04,Bed Bath Table,231
2017-04,Computers Accessories,116
2017-04,Furniture Decor,160
2017-04,Health Beauty,168
2017-04,Sports Leisure,184
2017-05,Bed Bath Table,322
2017-05,Computers Accessories,253
2017-05,Furniture Decor,224
2017-05,Health Beauty,261
2017-05,Sports Leisure,254
2017-06,Bed Bath Table,324
2017-06,Computers Accessories,212
2017-06,Furniture Decor,177
2017-06,Health Beauty,232
2017-06,Sports Leisure,244
2017-07,Bed Bath Table,501
2017-07,Computers Accessories,266
2017-07,Furniture Decor,243
2017-07,Health Beauty,269
2017-07,Sports Leisure,325
2017-08,Bed Bath Table,441
2017-08,Computers Accessories,289
2017-08,Furniture Decor,315
2017-08,Health Beauty,338
2017-08,Sports Leisure,372
2017-09,Bed Bath Table,456
2017-09,Computers Accessories,210
2017-09,Furniture Decor,265
2017-09,Health Beauty,356
2017-09,Sports Leisure,405
2017-10,Bed Bath Table,439
2017-10,Computers Accessories,253
2017-10,Furniture Decor,262
2017-10,Health Beauty,322
2017-10,Sports Leisure,416
2017-11,Bed Bath Table,799
2017-11,Computers Accessories,429
2017-11,Furniture Decor,531
2017-11,Health Beauty,519
2017-11,Sports Leisure,538
2017-12,Bed Bath Table,475
2017-12,Computers Accessories,248
2017-12,Furniture Decor,298
2017-12,Health Beauty,424
2017-12,Sports Leisure,427
2018-01,Bed Bath Table,686
2018-01,Computers Accessories,574
2018-01,Furniture Decor,461
2018-01,Health Beauty,563
2018-01,Sports Leisure,570
2018-02,Bed Bath Table,588
2018-02,Computers Accessories,790
2018-02,Furniture Decor,330
2018-02,Health Beauty,594
2018-02,Sports Leisure,570
2018-03,Bed Bath Table,649
2018-03,Computers Accessories,630
2018-03,Furniture Decor,424
2018-03,Health Beauty,605
2018-03,Sports Leisure,642
2018-04,Bed Bath Table,599
2018-04,Computers Accessories,465
2018-04,Furniture Decor,451
2018-04,Health Beauty,613
2018-04,Sports Leisure,519
2018-05,Bed Bath Table,598
2018-05,Computers Accessories,399
2018-05,Furniture Decor,452
2018-05,Health Beauty,665
2018-05,Sports Leisure,441
2018-06,Bed Bath Table,645
2018-06,Computers Accessories,352
2018-06,Furniture Decor,306
2018-06,Health Beauty,785
2018-06,Sports Leisure,369
2018-07,Bed Bath Table,508
2018-07,Computers Accessories,381
2018-07,Furniture Decor,339
2018-07,Health Beauty,697
2018-07,Sports Leisure,404
2018-08,Bed Bath Table,554
2018-08,Computers Accessories,378
2018-08,Furniture Decor,330
2018-08,Health Beauty,761
2018-08,Sports Leisure,427
